Localidade,Código,Ano,Assinatura Celular,Usuários de Internet(%),Número de Usuários de Internet,Assinatura de Banda Larga,Anos_Escola_Ajustados_Aprendizagem,Razão bruta de matrícula combinada para educação terciária - Feminino,Razão bruta de matrícula combinada para educação terciária - Masculino,"Taxa líquida de matrícula combinada total, secundário, masculino","Taxa líquida de matrícula combinada total, secundário, feminino","Taxa líquida de matrícula combinada total, primário, feminino","Taxa líquida de matrícula combinada total, primário, masculino"
Afghanistan,AFG,2017,65.92913055,13.5,4811862,0.025297474,4.87,,,61.08087,35.12171,,
Afghanistan,AFG,2018,59.12084961,16.79999924,6163380,0.043040551,4.9497876,4.90508,14.2081,62.88953,36.69527,,
Afghanistan,AFG,2020,58.2558136,18.39999962,7170891,0.068253607,5.0528383,5.8231,15.05095,,,,
Albania,ALB,2010,91.32805634,45.0,1311031,3.579992533,7.3824778,51.57109,38.04778,,,86.81675,85.18038
Albania,ALB,2017,125.71035,62.40000153,1796721,10.52684498,8.92,69.81036,45.73384,85.06396,88.46079,,
Albania,ALB,2018,94.17700195,65.40000153,1881570,12.55565929,8.851396,67.57861,43.04797,84.32964,89.1819,,
Albania,ALB,2020,91.00294495,72.23999786,2071012,17.68495178,8.953018,71.36869,45.05058,,,,
Algeria,DZA,2010,91.11307526,12.5,4482044,2.501566648,7.2022004,35.42107,24.53242,,,,
Algeria,DZA,2017,110.7672501,47.6910553,19618454,7.756293774,6.84,57.24471,38.41262,,,,
Algeria,DZA,2018,111.6647949,49.03846741,20560362,7.262935638,7.0480285,64.42081,38.8317,,,,
Algeria,DZA,2020,103.8873138,62.90000153,27331100,8.643942833,7.0915527,66.42428,39.15606,,,,
Angola,AGO,2017,44.68610764,26.0,7854245,0.325048655,4.11,8.348338,10.321318,,,,
Angola,AGO,2018,43.13051987,29.0,9069326,0.355604529,4.2349777,8.069791,9.975736,,,,
Argentina,ARG,2010,139.5800171,45.0,18495056,9.85001564,8.238216,87.82828,58.88202,78.50932,85.80616,,
Argentina,ARG,2017,140.877121,74.29490662,32730336,17.84999657,8.87,112.79844,67.77473,88.61459,93.0542,,
Argentina,ARG,2018,132.0931549,77.69999695,34509360,19.10152245,8.739134,114.64645,69.2272,,,,
